,community,previous_month_graffiti,previous_month_potholes,previous_month,year_previous,month_previous,realized_crime,true_month
184,HUMBOLDT PARK,209.0,356.0,2014-03-01,2014,3,705,2014-04-01
185,NORTH CENTER,322.0,310.0,2014-03-01,2014,3,113,2014-04-01
186,HERMOSA,185.0,126.0,2014-03-01,2014,3,182,2014-04-01
187,NEAR WEST SIDE,249.0,527.0,2014-03-01,2014,3,625,2014-04-01
188,WEST RIDGE,460.0,813.0,2014-03-01,2014,3,238,2014-04-01
189,LOOP,240.0,336.0,2014-03-01,2014,3,536,2014-04-01
190,BELMONT CRAGIN,695.0,612.0,2014-03-01,2014,3,392,2014-04-01
191,LOWER WEST SIDE,823.0,270.0,2014-03-01,2014,3,274,2014-04-01
192,IRVING PARK,423.0,765.0,2014-03-01,2014,3,218,2014-04-01
193,PORTAGE PARK,284.0,662.0,2014-03-01,2014,3,251,2014-04-01
194,CLEARING,31.0,153.0,2014-03-01,2014,3,82,2014-04-01
195,WEST LAWN,122.0,276.0,2014-03-01,2014,3,180,2014-04-01
196,BRIDGEPORT,300.0,132.0,2014-03-01,2014,3,186,2014-04-01
197,NEW CITY,236.0,288.0,2014-03-01,2014,3,465,2014-04-01
198,BRIGHTON PARK,674.0,258.0,2014-03-01,2014,3,222,2014-04-01
199,JEFFERSON PARK,100.0,356.0,2014-03-01,2014,3,106,2014-04-01
200,WEST TOWN,1293.0,578.0,2014-03-01,2014,3,623,2014-04-01
201,ROGERS PARK,168.0,214.0,2014-03-01,2014,3,330,2014-04-01
202,WEST ELSDON,136.0,145.0,2014-03-01,2014,3,89,2014-04-01
203,MCKINLEY PARK,344.0,96.0,2014-03-01,2014,3,84,2014-04-01
204,LINCOLN SQUARE,287.0,408.0,2014-03-01,2014,3,161,2014-04-01
205,SOUTH LAWNDALE,799.0,420.0,2014-03-01,2014,3,421,2014-04-01
206,AVONDALE,463.0,508.0,2014-03-01,2014,3,215,2014-04-01
207,NORTH LAWNDALE,86.0,302.0,2014-03-01,2014,3,752,2014-04-01
208,LOGAN SQUARE,1066.0,915.0,2014-03-01,2014,3,426,2014-04-01
209,RIVERDALE,1.0,55.0,2014-04-01,2014,4,166,2014-05-01
210,WASHINGTON HEIGHTS,1.0,277.0,2014-04-01,2014,4,292,2014-05-01
211,PULLMAN,12.0,85.0,2014-04-01,2014,4,100,2014-05-01
